name,releasedate,language,price,authors,contributors,narrators,audible_length_m,audible_rating,ratings_count
Pyjamasankarit - 3 minuutin iltasatuja,2022-01-21,finnish,32.0,"e One, Kimmo Lilja",,Valtteri Lehtinen,36,0.0,0
PJ Masks - Vet aquí en Robot PJ!,2022-01-24,catalan,38.0,e One,AnaC.AlcainaPerez-traductor,Roger Serradell,9,0.0,0
PJ Masks - PJ Robot,2022-01-24,spanish,38.0,e One,NicolásOluchaSánchez-traductor,Roger Serradell,9,0.0,0
Le géant de pierre,2022-01-25,french,189.0,Bertrand Fichou,,Clotilde Donna,7,0.0,0
Pyjamasankarit - Nousu taikavuorelle,2022-01-21,finnish,32.0,"e One, Kimmo Lilja",,Valtteri Lehtinen,11,0.0,0
PJ Masks - Héroes en Pijamas - Catboy y el gran rescate de la torta de cumpleaños,2022-01-24,spanish,38.0,e One,NicolásOluchaSánchez-traductor,Kevin Calderón,7,0.0,0
Tijl en de tijdbom,2022-01-21,dutch,233.0,Lara Reims,,Ruben Brinkman,305,0.0,0
Genius Camp,2021-11-30,english,904.0,Chris Grabenstein,,Kirby Heyborne,373,0.0,0
The Talisman of Lostland,2021-11-23,english,469.0,A. M. Luzzader,,Jennifer Jill Araya,338,0.0,0
Star Wars: The High Republic: A Test of Courage,2021-01-05,english,754.0,Justina Ireland,,Keylor Leigh,274,4.0,2
The Secret Explorers and the Plant Poachers,2021-10-07,english,410.0,S J King,,Aysha Kala,74,0.0,0
The Red Slippers,2015-12-24,english,305.0,Carolyn Keene,,Jorjeana Marie,173,5.0,9
Captain Underpants and the Preposterous Plight of the Purple Potty People,2021-01-19,english,258.0,Dav Pilkey,,"Len Forgione, Winston Bromhead, I'ke Mitchell",75,5.0,1
The Magician's Secret,2015-12-24,english,305.0,Carolyn Keene,,Jorjeana Marie,162,4.5,7
The Case of the Bizarre Bouquets,2008-04-11,english,609.0,Nancy Springer,,Katherine Kellgren,219,4.5,3
Shockwave,2022-03-17,english,1328.0,Wilbur Smith,,Elliot Chapman,356,0.0,0
The Phantom of Nantucket,2015-12-24,english,305.0,Carolyn Keene,,Jorjeana Marie,196,5.0,5
The Swamp Robber,2018-09-18,english,234.0,Paul Hutchens,,Aimee Lilly,164,5.0,1
The Magic Finger,2014-09-11,english,615.0,Roald Dahl,,Kate Winslet,26,4.5,14
The Adventures of Captain Underpants,2018-05-22,english,258.0,Dav Pilkey,,"Len Forgione, Dazjon Freeman, Ben D' Amico",60,4.5,13
Secret at Mystic Lake,2015-09-28,english,305.0,Carolyn Keene,,Jorjeana Marie,156,4.5,14
Fight for Dusty Divot,2019-01-08,english,585.0,Devin Hunter,,Ramonde Ocampo,129,0.0,0
"I Survived the Sinking of the Titanic, 1912",2016-03-29,english,187.0,Lauren Tarshis,,Lauren Fortgang,76,5.0,1
Showdown at Widow Creek,2016-02-02,english,305.0,Franklin W. Dixon,,Tim Gregory,166,5.0,3
Case of the Missing Marquess,2008-10-22,english,726.0,Nancy Springer,,Katherine Kellgren,271,4.5,3
Nightshade,2020-05-28,english,645.0,Anthony Horowitz,,Rupert Degas,607,4.5,11
Mystery of the Phantom Heist,2015-11-02,english,305.0,Franklin W. Dixon,,Tim Gregory,179,5.0,6
Mousse à l'école des pirates,2022-02-15,french,151.0,Elise Rengot,,Jean- Paul Bibé,6,0.0,0
Riding Home Through Asia,2022-02-11,english,569.0,Alastair Humphreys,,Alastair Humphreys,148,0.0,0
The Boy Who Biked the World: Riding the Americas,2022-02-11,english,569.0,Alastair Humphreys,,Alastair Humphreys,143,0.0,0
El Misterio de la Montaña Azul,2022-02-14,spanish,115.0,Mattel,RaquelLuqueBenítez-traductor,Germán Gijón,18,0.0,0
Grand-mère Sucre et Grand-père Chocolat,2022-02-11,french,149.0,Gigi Bigot,,Gigi Bigot,4,0.0,0
